(‘;Welcome to the machine;'),;(‘Welcome to the machine'),;Welcome to the machine;;(‘;Roger Waters ;'),;(‘Roger Waters '),;Roger Waters ;(‘;rock;');(‘rock');rock
(‘;Have a cigar;'),;(‘Have a cigar'),;Have a cigar;;(‘;David Gilmour ;'),;(‘David Gilmour '),;David Gilmour ;(‘;rock;');(‘rock');rock
(‘;Have a cigar;'),;(‘Have a cigar'),;Have a cigar;;(‘;Richard Wright ;'),;(‘Richard Wright '),;Richard Wright ;(‘;rock;');(‘rock');rock
(‘;Have a cigar;'),;(‘Have a cigar'),;Have a cigar;;(‘;Roger Waters ;'),;(‘Roger Waters '),;Roger Waters ;(‘;rock;');(‘rock');rock
(‘;Wish you were here;'),;(‘Wish you were here'),;Wish you were here;;(‘;David Gilmour ;'),;(‘David Gilmour '),;David Gilmour ;(‘;rock;');(‘rock');rock
(‘;Wish you were here;'),;(‘Wish you were here'),;Wish you were here;;(‘;Richard Wright ;'),;(‘Richard Wright '),;Richard Wright ;(‘;rock;');(‘rock');rock
(‘;Wish you were here;'),;(‘Wish you were here'),;Wish you were here;;(‘;Roger Waters ;'),;(‘Roger Waters '),;Roger Waters ;(‘;rock;');(‘rock');rock
(‘;bohemian rapsody;'),;(‘bohemian rapsody'),;bohemian rapsody;;(‘;Freddie Mercury ;'),;(‘Freddie Mercury '),;Freddie Mercury ;(‘;rock;');(‘rock');rock
(‘;Cowboys;'),;(‘Cowboys'),;Cowboys;;(‘;Adrian Utley ;'),;(‘Adrian Utley '),;Adrian Utley ;(‘;trip hop;');(‘trip hop');trip hop
(‘;Cowboys;'),;(‘Cowboys'),;Cowboys;;(‘;Beth Gibbons ;'),;(‘Beth Gibbons '),;Beth Gibbons ;(‘;trip hop;');(‘trip hop');trip hop
(‘;Cowboys;'),;(‘Cowboys'),;Cowboys;;(‘;Geoff Barrow ;'),;(‘Geoff Barrow '),;Geoff Barrow ;(‘;trip hop;');(‘trip hop');trip hop
(‘;All mine;'),;(‘All mine'),;All mine;;(‘;Adrian Utley ;'),;(‘Adrian Utley '),;Adrian Utley ;(‘;trip hop;');(‘trip hop');trip hop
(‘;All mine;'),;(‘All mine'),;All mine;;(‘;Beth Gibbons ;'),;(‘Beth Gibbons '),;Beth Gibbons ;(‘;trip hop;');(‘trip hop');trip hop
(‘;All mine;'),;(‘All mine'),;All mine;;(‘;Geoff Barrow ;'),;(‘Geoff Barrow '),;Geoff Barrow ;(‘;trip hop;');(‘trip hop');trip hop
(‘;Big calm;'),;(‘Big calm'),;Big calm;;(‘;Morcheeba;'),;(‘Morcheeba'),;Morcheeba;(‘;trip hop;');(‘trip hop');trip hop
(‘;The sea;'),;(‘The sea'),;The sea;;(‘;Morcheeba;'),;(‘Morcheeba'),;Morcheeba;(‘;trip hop;');(‘trip hop');trip hop
(‘;Danse de la fée Dragée;'),;(‘Danse de la fée Dragée'),;Danse de la fée Dragée;;(‘;Tchaïkovsky ;'),;(‘Tchaïkovsky '),;Tchaïkovsky ;(‘;classique;');(‘classique');classique
(‘;Toccata et fugue;'),;(‘Toccata et fugue'),;Toccata et fugue;;(‘;Jean Sebastien Bach;'),;(‘Jean Sebastien Bach'),;Jean Sebastien Bach;(‘;classique;');(‘classique');classique
(‘;It's probably me;'),;(‘It\s probably me'),;It\s probably me;;(‘;Eric Clapton ;'),;(‘Eric Clapton '),;Eric Clapton ;(‘;rock;');(‘rock');rock
(‘;It's probably me;'),;(‘It\s probably me'),;It\s probably me;;(‘;Michael Kamen ;'),;(‘Michael Kamen '),;Michael Kamen ;(‘;rock;');(‘rock');rock
(‘;It's probably me;'),;(‘It\s probably me'),;It\s probably me;;(‘;Sting ;'),;(‘Sting '),;Sting ;(‘;rock;');(‘rock');rock
(‘;English man in New York;'),;(‘English man in New York'),;English man in New York;;(‘;Sting ;'),;(‘Sting '),;Sting ;(‘;pop;');(‘pop');pop
(‘;If You Love Somebody Set Them Free;'),;(‘If You Love Somebody Set Them Free'),;If You Love Somebody Set Them Free;;(‘;Sting ;'),;(‘Sting '),;Sting ;(‘;pop;');(‘pop');pop
(‘;Walking on the moon;'),;(‘Walking on the moon'),;Walking on the moon;;(‘;Sting ;'),;(‘Sting '),;Sting ;(‘;pop;');(‘pop');pop
(‘;Chan chan;'),;(‘Chan chan'),;Chan chan;;(‘;Compay Segundo ;'),;(‘Compay Segundo '),;Compay Segundo ;(‘;Salsa;');(‘Salsa');Salsa
(‘;De Camino a La Vereda;'),;(‘De Camino a La Vereda'),;De Camino a La Vereda;;(‘;Ibrahim Ferrer ;'),;(‘Ibrahim Ferrer '),;Ibrahim Ferrer ;(‘;Salsa;');(‘Salsa');Salsa
(‘;El Cuarto de Tula;'),;(‘El Cuarto de Tula'),;El Cuarto de Tula;;(‘;Luis Marquetti ;'),;(‘Luis Marquetti '),;Luis Marquetti ;(‘;Salsa;');(‘Salsa');Salsa
(‘;El Cuarto de Tula;'),;(‘El Cuarto de Tula'),;El Cuarto de Tula;;(‘;Sergio González Siaba ;'),;(‘Sergio González Siaba '),;Sergio González Siaba ;(‘;Salsa;');(‘Salsa');Salsa
(‘;Pueblo Nuevo;'),;(‘Pueblo Nuevo'),;Pueblo Nuevo;;(‘;Ruben Gonzalez ;'),;(‘Ruben Gonzalez '),;Ruben Gonzalez ;(‘;Salsa;');(‘Salsa');Salsa
(‘;Pueblo Nuevo;'),;(‘Pueblo Nuevo'),;Pueblo Nuevo;;(‘;Israel Cachao López ;'),;(‘Israel Cachao López '),;Israel Cachao López ;(‘;Salsa;');(‘Salsa');Salsa
(‘;Dos Gardenias;'),;(‘Dos Gardenias'),;Dos Gardenias;;(‘;Isolina Carrillo ;'),;(‘Isolina Carrillo '),;Isolina Carrillo ;(‘;Salsa;');(‘Salsa');Salsa
(‘;¿Y Tú qué has Hecho?;'),;(‘¿Y Tú qué has Hecho?'),;¿Y Tú qué has Hecho?;;(‘;Eusebio Delfín ;'),;(‘Eusebio Delfín '),;Eusebio Delfín ;(‘;Salsa;');(‘Salsa');Salsa
(‘;Veinte Años;'),;(‘Veinte Años'),;Veinte Años;;(‘;María Teresa Vera ;'),;(‘María Teresa Vera '),;María Teresa Vera ;(‘;Salsa;');(‘Salsa');Salsa
(‘;El Carretero;');(‘El Carretero');El Carretero;;(‘;Guillermo Portabales ;'),;(‘Guillermo Portabales '),;Guillermo Portabales ;(‘;Salsa;');(‘Salsa');Salsa
